simulation,selected_columns
0,"236,130,186,0,180,132,107"
1,"79,185,89,238,85,99,43"
2,"229,179,100,243,13,198,242"
3,"55,212,64,19,16,59,28"
4,"142,197,2,221,77,194,172"
5,"164,131,104,61,84,213,163"
6,"165,235,83,228,210,72,73"
7,"51,203,56,208,82,173,165"
8,"193,7,121,20,78,204,25"
9,"127,118,161,214,86,105,114"
10,"249,84,145,22,137,31,158"
11,"230,189,2,131,106,58,214"
12,"119,202,226,6,114,109,76"
13,"133,58,23,152,31,211,24"
14,"191,67,150,5,203,125,231"
15,"131,67,65,123,106,128,82"
16,"155,139,223,50,196,34,41"
17,"162,241,61,197,6,219,202"
18,"52,226,152,72,62,207,219"
19,"74,77,155,132,30,181,11"
20,"240,104,58,108,49,97,0"
21,"10,1,187,228,198,135,194"
22,"245,97,10,114,164,26,59"
23,"120,118,21,76,3,111,221"
24,"27,197,78,82,166,11,17"
25,"110,241,1,191,185,193,234"
26,"72,20,223,7,210,212,67"
27,"70,2,207,122,183,239,50"
28,"0,178,13,240,121,89,88"
29,"244,202,35,51,114,78,41"
30,"59,28,233,102,118,193,24"
31,"193,134,0,52,212,236,65"
32,"69,139,54,160,110,145,166"
33,"231,15,209,52,55,238,248"
34,"248,16,242,25,186,39,4"
35,"93,200,110,196,104,137,177"
36,"77,62,115,110,93,83,0"
37,"107,143,47,168,160,68,198"
38,"31,165,192,20,76,125,45"
39,"211,115,87,4,99,81,219"
40,"247,155,242,188,100,63,190"
41,"104,8,208,44,95,229,49"
42,"131,89,248,134,157,19,60"
43,"172,69,117,58,11,75,14"
44,"151,16,170,186,234,161,17"
45,"121,25,230,220,245,149,218"
46,"138,180,245,32,207,125,149"
47,"223,182,77,220,121,195,129"
48,"13,111,135,39,175,234,11"
49,"104,240,47,116,86,149,18"
50,"145,20,218,56,60,119,132"
51,"16,239,181,147,164,197,53"
52,"243,110,19,208,37,4,135"
53,"32,57,126,141,217,183,28"
54,"195,193,62,63,42,159,104"
55,"238,181,188,187,62,230,131"
56,"217,10,239,213,89,53,105"
57,"34,61,157,104,81,227,31"
58,"231,234,172,60,249,94,44"
59,"62,110,218,175,199,11,147"
60,"55,83,115,186,90,191,103"
61,"218,106,12,228,235,34,46"
62,"184,55,196,26,56,101,49"
63,"97,53,207,94,228,162,80"
64,"128,29,116,230,97,34,195"
65,"222,19,8,121,206,142,123"
66,"9,183,115,14,12,68,210"
67,"202,215,164,246,146,69,13"
68,"239,108,120,206,57,83,76"
69,"125,139,159,123,68,132,169"
70,"49,216,117,240,46,146,228"
71,"66,159,220,237,162,221,151"
72,"170,80,119,133,63,59,235"
73,"142,203,179,120,125,131,85"
74,"149,158,193,242,146,60,148"
75,"1,226,119,154,242,128,237"
76,"51,214,52,96,165,184,247"
77,"10,136,117,48,192,229,200"
78,"246,98,241,72,141,23,85"
79,"15,26,81,148,93,220,69"
80,"235,108,32,117,215,199,207"
81,"175,233,113,25,98,180,0"
82,"55,99,155,95,91,154,85"
83,"101,240,65,49,142,16,199"
84,"247,70,115,219,142,95,0"
85,"121,23,54,206,161,162,242"
86,"230,160,115,245,238,90,8"
87,"161,219,50,196,177,179,107"
88,"24,240,27,20,30,172,79"
89,"45,94,2,153,14,181,230"
90,"174,143,13,94,31,67,53"
91,"36,47,44,48,107,133,92"
92,"26,73,30,192,59,58,5"
93,"115,178,192,88,184,56,25"
94,"99,120,221,167,222,26,157"
95,"92,42,88,87,73,231,221"
96,"14,153,3,242,138,141,4"
97,"4,231,108,7,183,232,81"
98,"214,121,45,202,130,172,148"
99,"10,90,242,112,52,180,193"
100,"71,12,60,206,48,45,124"
101,"124,62,139,200,134,52,125"
102,"72,56,240,235,179,221,109"
103,"130,213,124,142,24,25,188"
104,"19,72,65,187,104,108,120"
105,"23,15,56,77,186,184,7"
106,"244,31,34,143,77,247,226"
107,"240,248,54,1,0,9,166"
108,"213,244,53,150,29,37,175"
109,"100,15,228,180,80,45,192"
110,"175,153,235,84,131,22,211"
111,"241,33,198,98,216,153,67"
112,"162,230,224,70,232,105,221"
113,"101,205,57,226,227,125,158"
114,"152,144,241,120,47,74,117"
115,"126,92,60,215,200,196,110"
116,"84,164,70,232,171,29,170"
117,"221,224,67,62,72,230,188"
118,"12,29,201,224,17,103,26"
119,"249,135,78,106,237,210,73"
120,"15,197,10,214,225,166,39"
121,"70,51,17,101,48,149,186"
122,"52,94,246,164,182,207,67"
123,"65,150,24,72,73,40,115"
124,"178,173,96,207,179,12,117"
125,"189,184,150,249,36,1,168"
126,"198,38,108,126,31,192,73"
127,"7,171,212,78,145,174,11"
128,"8,181,165,14,65,144,132"
129,"139,127,172,94,120,81,173"
130,"168,195,173,154,201,62,194"
131,"199,69,10,15,5,160,40"
132,"185,125,120,167,204,53,176"
133,"210,146,118,144,102,121,80"
134,"73,247,203,42,143,4,169"
135,"28,130,110,61,242,74,11"
136,"179,16,99,210,58,223,94"
137,"74,177,190,81,161,158,136"
138,"31,84,176,91,45,237,220"
139,"181,44,27,215,171,68,125"
140,"90,50,221,68,27,187,157"
141,"39,31,222,171,221,58,93"
142,"40,218,177,73,210,89,248"
143,"99,103,93,244,118,183,248"
144,"162,57,187,45,188,215,222"
145,"206,22,222,238,155,157,143"
146,"49,139,89,81,214,60,48"
147,"5,105,37,66,192,188,15"
148,"76,66,199,85,122,151,115"
149,"149,174,176,240,158,113,74"
150,"236,162,53,217,4,216,36"
151,"36,214,204,56,98,88,132"
152,"73,169,119,224,194,44,242"
153,"1,120,157,80,97,75,131"
154,"160,91,174,190,153,122,201"
155,"144,56,78,215,9,29,127"
156,"90,14,121,73,113,181,69"
157,"128,7,151,208,124,245,4"
158,"208,64,143,186,167,106,209"
159,"147,227,104,152,136,25,20"
160,"206,69,124,76,49,151,12"
161,"175,169,45,119,146,77,128"
162,"142,57,4,149,187,177,223"
163,"248,219,1,117,99,11,114"
164,"125,6,49,122,78,90,97"
165,"238,80,175,217,158,173,170"
166,"40,131,128,12,138,176,211"
167,"102,151,246,183,107,103,224"
168,"37,76,102,220,21,246,242"
169,"34,243,107,35,45,78,130"
170,"31,203,118,212,32,208,26"
171,"37,161,78,224,155,233,191"
172,"34,4,30,3,190,195,21"
173,"23,62,163,214,17,2,217"
174,"7,113,227,99,118,198,62"
175,"118,5,50,148,79,221,11"
176,"220,75,241,222,248,43,6"
177,"45,82,122,140,193,157,118"
178,"64,224,60,206,123,185,136"
179,"0,205,136,208,223,118,94"
180,"80,88,111,173,106,46,102"
181,"40,159,50,105,167,119,8"
182,"68,169,148,242,107,8,238"
183,"235,49,14,23,189,248,115"
184,"212,170,147,218,111,54,53"
185,"108,84,170,32,49,172,83"
186,"93,185,219,65,190,107,206"
187,"123,59,177,204,232,25,181"
188,"126,152,71,229,123,154,125"
189,"225,59,99,118,24,195,156"
190,"61,221,34,122,210,20,42"
191,"5,102,122,178,121,204,96"
192,"7,179,104,100,9,209,114"
193,"212,31,10,12,91,231,119"
194,"186,146,14,184,190,88,20"
195,"105,144,79,118,93,1,30"
196,"95,49,227,107,0,71,120"
197,"23,239,128,162,68,218,90"
198,"13,242,213,136,226,207,177"
199,"199,16,184,230,12,159,244"
