simulation,selected_columns
0,"17,39,18,1,33,32,41,11,37,3,9,10"
1,"26,42,1,38,3,31,25,29,30,40,17,19"
2,"37,3,2,7,49,17,23,12,20,18,14,25"
3,"45,15,36,5,7,27,14,42,13,23,8,9"
4,"8,20,38,21,22,47,31,2,35,16,24,27"
5,"25,18,17,8,6,11,46,27,39,19,20,10"
6,"12,2,3,43,4,26,37,22,13,30,45,17"
7,"35,6,31,9,40,37,17,24,14,15,27,25"
8,"46,48,40,14,19,20,6,1,26,11,39,30"
9,"45,18,9,31,40,25,44,21,16,48,24,29"
10,"32,37,47,8,36,0,21,23,20,17,2,11"
11,"22,15,21,45,33,10,6,3,19,48,35,7"
12,"25,32,6,30,11,8,3,12,14,26,10,0"
13,"47,18,27,22,35,7,38,28,45,15,25,30"
14,"22,47,0,32,1,36,44,17,29,38,13,15"
15,"31,25,21,40,29,7,30,32,23,15,2,8"
16,"35,36,47,7,17,12,18,23,2,46,33,29"
17,"34,1,9,4,49,32,22,27,44,40,0,13"
18,"49,44,21,12,22,43,37,19,28,47,1,42"
19,"40,28,17,36,8,45,33,26,21,42,47,13"
20,"34,5,21,2,15,25,23,36,43,44,24,8"
21,"25,17,14,35,26,47,37,1,5,16,44,33"
22,"43,33,48,24,12,26,18,8,6,15,10,36"
23,"2,29,40,7,23,17,9,1,20,44,49,8"
24,"32,17,20,43,0,35,2,7,37,1,10,9"
25,"22,4,36,43,12,26,29,8,46,48,40,13"
26,"39,37,1,28,31,43,6,20,12,22,11,32"
27,"20,0,37,8,27,29,21,9,48,24,38,45"
28,"48,44,20,42,0,33,3,6,49,43,10,2"
29,"46,33,14,19,6,25,10,38,43,16,47,17"
30,"21,39,2,45,3,24,13,32,36,25,10,29"
31,"7,47,42,4,46,39,13,38,49,37,9,5"
32,"31,15,45,12,10,35,16,23,33,9,48,36"
33,"26,21,7,23,22,10,11,24,25,41,39,2"
34,"36,17,34,27,49,1,25,13,18,43,48,9"
35,"35,9,48,38,17,40,39,43,4,30,29,11"
36,"26,21,4,30,25,22,35,49,33,44,48,37"
37,"41,39,6,19,44,35,1,47,17,24,10,8"
38,"23,38,15,27,24,44,1,0,7,6,28,45"
39,"26,9,22,29,28,37,15,32,4,8,33,11"
40,"39,26,28,30,17,6,35,47,18,37,34,25"
41,"46,47,31,49,2,26,23,10,1,19,4,42"
42,"37,21,40,49,0,47,38,5,16,43,34,4"
43,"27,38,22,16,40,34,4,14,2,47,20,26"
44,"39,21,14,43,44,5,23,15,2,41,0,24"
45,"0,12,39,17,30,38,24,22,31,40,7,41"
46,"42,24,16,7,2,1,4,8,0,34,9,46"
47,"28,11,23,33,30,15,9,29,41,39,12,24"
48,"6,42,7,8,16,36,31,34,1,44,4,3"
49,"11,16,35,31,0,45,1,46,29,6,13,23"
50,"29,27,42,25,21,20,14,6,30,18,16,24"
51,"4,31,46,22,36,37,24,13,28,11,45,7"
52,"44,21,16,1,29,18,34,31,20,38,17,14"
53,"27,13,29,39,34,49,2,4,14,15,18,31"
54,"1,47,14,21,24,30,38,48,36,34,32,49"
55,"14,44,45,42,0,25,16,4,2,34,27,48"
56,"17,39,48,14,9,29,6,24,25,10,5,28"
57,"14,48,47,37,32,2,7,25,29,21,30,36"
58,"14,47,0,29,5,43,35,49,46,11,17,7"
59,"0,49,39,10,4,44,7,23,26,37,35,30"
60,"3,38,34,43,1,12,45,32,28,48,13,36"
61,"48,43,29,38,27,9,2,16,4,37,3,7"
62,"38,33,16,13,34,29,7,14,2,10,5,45"
63,"2,36,46,24,0,26,49,4,34,40,33,32"
64,"7,37,8,15,5,43,48,26,25,4,40,9"
65,"27,48,4,8,43,35,16,40,28,44,22,11"
66,"47,43,48,42,8,4,11,38,21,9,49,40"
67,"12,29,2,32,22,4,7,3,34,27,35,37"
68,"29,40,38,18,9,22,11,5,27,25,13,35"
69,"10,36,25,48,37,9,20,47,42,19,2,29"
70,"18,19,47,41,42,20,44,2,15,11,28,46"
71,"26,46,15,12,31,38,13,37,29,23,11,6"
72,"23,34,17,48,14,21,19,5,3,32,12,36"
73,"10,5,14,34,17,46,35,0,47,48,18,22"
74,"32,0,38,45,47,9,13,33,28,14,42,48"
75,"18,4,21,31,42,5,26,23,44,0,39,2"
76,"11,22,0,15,13,47,7,46,24,41,35,3"
77,"32,42,38,17,1,31,8,19,44,24,9,15"
78,"21,43,15,0,19,6,35,25,22,10,2,11"
79,"4,47,5,0,1,32,12,7,45,49,33,39"
80,"20,21,41,6,19,34,43,48,30,18,45,8"
81,"3,31,18,1,39,14,7,29,12,23,17,37"
82,"28,41,12,46,31,45,1,8,24,4,13,29"
83,"7,1,38,22,19,6,42,36,17,4,39,31"
84,"6,9,28,10,4,11,49,46,22,44,26,21"
85,"35,34,49,3,5,19,8,22,46,24,37,21"
86,"25,32,22,6,7,11,3,30,34,12,37,36"
87,"37,18,20,0,38,7,36,15,28,43,9,13"
88,"18,4,15,49,23,34,13,29,40,16,47,19"
89,"2,22,8,41,40,34,27,12,9,32,48,38"
90,"15,38,5,46,1,41,33,22,35,37,7,21"
91,"9,20,22,45,29,5,30,26,10,12,37,43"
92,"14,47,42,44,36,15,25,46,40,20,11,23"
93,"19,15,47,30,6,0,29,48,21,27,22,38"
94,"29,21,25,4,0,22,20,41,49,3,31,46"
95,"31,48,21,40,32,0,15,9,6,12,4,42"
96,"42,30,16,44,41,11,36,32,15,17,49,47"
97,"9,25,40,38,26,7,17,23,48,3,18,41"
98,"20,43,29,39,47,38,27,1,28,6,34,12"
99,"2,44,3,23,13,25,11,46,7,6,34,10"
100,"48,34,6,41,0,29,12,44,49,27,45,18"
101,"2,43,21,13,15,0,9,6,42,27,23,8"
102,"13,16,21,12,45,28,20,32,7,43,40,29"
103,"23,45,39,36,40,42,12,10,6,34,18,20"
104,"18,10,19,5,24,3,9,46,40,49,22,23"
105,"28,42,32,36,45,0,3,37,46,17,34,29"
106,"6,27,5,12,32,14,49,48,28,41,17,2"
107,"11,7,26,49,22,40,42,24,9,47,30,28"
108,"3,39,33,47,41,13,2,16,14,27,28,21"
109,"36,18,20,8,14,0,49,22,44,31,17,7"
110,"9,32,34,14,3,29,43,24,16,25,48,8"
111,"40,13,11,4,47,34,27,37,28,9,45,3"
112,"36,28,9,25,29,22,32,45,5,26,23,3"
113,"28,42,20,6,46,7,33,36,17,3,24,35"
