simulation,selected_columns
0,"21,5,12,49"
1,"15,35,3,4"
2,"0,46,14,38"
3,"11,10,32,5"
4,"3,11,17,39"
5,"36,33,19,5"
6,"10,25,38,47"
7,"3,9,27,39"
8,"46,28,44,0"
9,"8,44,24,45"
10,"36,40,49,7"
11,"40,28,33,36"
12,"39,23,3,30"
13,"46,9,47,44"
14,"23,10,47,4"
15,"11,34,49,15"
16,"0,16,21,38"
17,"14,15,19,3"
18,"38,43,34,47"
19,"4,2,3,20"
20,"34,12,31,21"
21,"11,45,46,33"
22,"22,23,41,8"
23,"38,20,25,35"
24,"3,44,1,47"
25,"1,35,45,44"
26,"27,29,23,37"
27,"9,23,28,7"
28,"15,10,28,45"
29,"19,5,10,14"
30,"40,2,4,20"
31,"34,32,28,14"
32,"13,3,32,20"
33,"41,30,36,48"
34,"8,44,28,33"
35,"32,17,15,14"
36,"38,15,0,21"
37,"11,34,5,22"
38,"15,6,46,28"
39,"10,32,29,21"
40,"40,37,27,35"
41,"34,17,41,42"
42,"9,20,30,45"
43,"9,22,44,31"
44,"13,15,5,44"
45,"43,25,45,42"
46,"22,30,47,35"
47,"4,31,14,5"
48,"35,45,19,1"
49,"23,31,12,26"
50,"33,10,5,12"
51,"48,4,9,27"
52,"14,49,10,20"
53,"24,26,17,44"
54,"48,33,13,42"
55,"10,21,20,38"
56,"22,15,12,8"
57,"34,48,26,44"
58,"14,1,12,22"
59,"0,12,17,5"
60,"6,43,19,37"
61,"16,43,18,25"
62,"40,1,43,0"
63,"8,6,28,10"
64,"34,19,3,4"
65,"20,9,12,30"
66,"18,43,27,7"
67,"0,15,4,21"
68,"36,20,8,25"
69,"2,20,7,30"
70,"45,23,30,13"
71,"19,26,41,2"
72,"46,2,9,42"
73,"11,21,29,3"
74,"7,32,5,10"
75,"6,19,48,8"
76,"19,34,24,23"
77,"16,10,2,24"
78,"46,29,19,20"
79,"44,3,26,6"
80,"28,13,48,37"
81,"48,10,4,19"
82,"12,14,21,23"
83,"21,32,4,7"
84,"11,32,10,39"
85,"15,11,32,21"
86,"18,6,48,25"
87,"14,38,22,41"
88,"4,20,49,31"
89,"49,42,0,45"
90,"10,8,37,40"
91,"48,43,35,2"
92,"34,3,29,47"
93,"34,28,24,42"
94,"4,21,3,46"
95,"39,6,4,13"
96,"36,2,5,7"
97,"29,21,32,41"
98,"4,20,37,16"
99,"45,25,7,3"
100,"39,20,10,13"
101,"16,40,34,46"
102,"25,30,31,16"
103,"12,31,39,8"
104,"39,5,20,26"
105,"20,31,49,40"
106,"5,40,41,18"
107,"23,21,1,13"
108,"41,20,34,35"
109,"43,4,17,28"
110,"46,20,47,7"
111,"27,42,8,3"
112,"48,49,31,33"
113,"29,39,43,44"
114,"26,5,4,14"
115,"34,2,30,27"
116,"36,37,15,31"
117,"38,7,4,42"
118,"5,20,7,39"
119,"31,7,13,22"
120,"27,26,14,3"
121,"35,34,45,9"
122,"22,34,12,16"
123,"13,2,23,29"
124,"42,44,39,19"
125,"4,24,30,42"
126,"48,4,38,23"
127,"28,48,29,20"
128,"43,19,47,45"
129,"2,3,15,9"
130,"31,48,38,16"
131,"4,18,24,47"
132,"19,33,39,25"
133,"33,32,30,49"
134,"29,21,8,46"
135,"37,25,39,4"
136,"27,44,3,2"
137,"18,31,15,10"
138,"6,1,32,30"
139,"37,45,47,24"
140,"22,41,42,27"
141,"41,26,29,10"
142,"17,10,40,24"
143,"8,20,44,33"
144,"27,16,49,36"
145,"15,37,45,29"
146,"1,29,23,36"
147,"21,26,20,46"
148,"23,45,32,42"
149,"4,37,19,34"
150,"23,45,40,39"
151,"28,29,24,1"
152,"47,40,2,32"
153,"43,19,47,5"
154,"13,34,19,24"
155,"29,16,26,36"
156,"42,37,46,14"
157,"6,2,26,32"
158,"14,2,17,3"
159,"47,39,4,35"
160,"3,12,11,1"
161,"47,34,49,30"
162,"10,41,15,11"
163,"29,12,47,9"
164,"11,49,33,22"
165,"37,32,22,35"
166,"28,32,26,42"
167,"38,12,3,48"
168,"40,5,35,10"
169,"42,38,16,1"
170,"3,12,13,40"
171,"46,19,40,47"
172,"24,43,32,10"
173,"38,47,37,48"
174,"22,9,49,33"
175,"47,4,18,29"
176,"7,46,41,38"
177,"9,3,12,27"
178,"44,47,6,21"
179,"32,16,42,31"
180,"16,33,24,7"
181,"10,3,9,43"
182,"44,45,15,21"
183,"40,15,39,1"
184,"47,25,23,26"
185,"11,5,28,15"
186,"2,40,47,48"
187,"35,12,40,3"
188,"1,32,0,23"
189,"1,46,13,0"
190,"2,23,31,42"
191,"2,16,31,24"
192,"37,48,26,8"
193,"35,32,34,21"
194,"45,31,37,39"
195,"12,28,26,2"
196,"43,30,11,38"
197,"10,34,41,46"
198,"18,8,14,10"
199,"40,5,27,29"
200,"44,46,27,42"
201,"46,2,44,40"
202,"2,37,48,36"
203,"15,37,43,7"
204,"39,18,8,31"
205,"17,1,44,45"
206,"34,3,16,20"
207,"15,46,25,40"
208,"28,25,30,16"
209,"39,49,37,34"
210,"9,22,25,32"
211,"0,29,43,34"
212,"31,32,30,26"
213,"19,29,7,13"
214,"31,10,25,32"
215,"37,49,11,0"
216,"14,9,12,31"
217,"45,7,12,23"
218,"44,35,26,28"
219,"1,24,13,2"
220,"46,1,12,8"
221,"32,22,49,30"
222,"20,38,4,11"
223,"16,46,43,20"
224,"1,39,22,3"
225,"19,44,45,5"
226,"39,11,18,17"
227,"4,31,39,10"
228,"14,30,8,20"
229,"29,36,17,44"
230,"49,0,40,20"
231,"9,7,3,22"
232,"43,45,39,36"
233,"6,14,3,40"
234,"13,44,18,36"
235,"5,40,26,7"
236,"29,4,12,3"
237,"26,40,25,13"
238,"35,16,19,15"
239,"42,35,41,9"
240,"21,18,15,22"
241,"1,21,30,19"
242,"49,22,8,21"
243,"22,12,10,16"
244,"2,7,24,39"
245,"39,25,27,15"
246,"44,15,26,25"
247,"20,22,42,3"
248,"36,39,44,45"
249,"44,47,36,17"
250,"13,8,6,9"
251,"8,4,41,33"
252,"1,33,18,38"
253,"18,20,26,14"
254,"48,41,12,11"
255,"25,5,40,0"
256,"28,32,14,42"
257,"27,29,24,2"
258,"30,37,11,0"
259,"41,3,27,31"
260,"11,2,43,42"
261,"33,41,3,17"
262,"3,30,13,19"
263,"30,41,42,21"
264,"29,48,26,15"
265,"28,22,17,4"
266,"17,7,16,19"
267,"2,35,34,41"
268,"41,36,45,17"
269,"39,9,17,26"
270,"31,48,12,9"
271,"11,26,43,25"
272,"13,4,31,45"
273,"11,15,27,6"
274,"32,1,46,39"
275,"36,40,4,37"
276,"19,30,49,16"
277,"2,24,12,47"
278,"14,37,9,35"
279,"43,37,34,40"
280,"1,19,44,23"
281,"8,42,28,20"
282,"11,20,8,48"
283,"9,23,32,16"
284,"17,11,19,44"
285,"17,15,1,9"
286,"13,17,27,5"
287,"39,9,44,0"
288,"27,26,24,15"
289,"19,32,22,1"
290,"0,42,4,22"
291,"19,47,14,43"
292,"17,18,12,37"
293,"49,10,2,18"
294,"36,1,29,13"
295,"40,49,43,41"
296,"20,21,18,10"
297,"47,32,26,4"
298,"20,49,11,36"
299,"26,7,24,22"
300,"21,17,2,35"
301,"14,0,41,5"
302,"15,4,41,24"
303,"12,2,7,0"
304,"36,18,26,35"
305,"26,21,8,43"
306,"40,1,23,48"
307,"4,41,8,37"
308,"32,9,4,18"
309,"46,44,11,26"
310,"38,28,45,7"
311,"20,30,28,45"
312,"5,8,35,20"
313,"37,9,49,10"
314,"48,24,10,43"
315,"21,34,28,45"
316,"12,23,27,21"
317,"20,7,47,38"
318,"42,22,11,14"
319,"31,35,43,30"
320,"20,48,26,1"
321,"23,47,9,34"
322,"30,23,40,25"
323,"29,32,38,26"
324,"44,8,12,41"
325,"21,24,40,34"
326,"18,35,38,33"
327,"40,9,29,37"
328,"28,9,0,36"
329,"14,47,36,45"
330,"41,28,23,10"
331,"27,30,36,29"
332,"21,36,26,23"
333,"41,38,20,22"
334,"17,7,12,47"
335,"36,8,12,41"
336,"42,39,44,20"
337,"17,12,43,22"
338,"22,25,13,12"
339,"40,8,2,3"
340,"28,46,9,16"
341,"25,48,47,12"
342,"46,33,28,16"
343,"28,39,3,23"
344,"40,18,47,15"
345,"39,35,29,19"
346,"35,27,11,28"
347,"11,41,37,4"
