simulation,selected_columns
0,"83,8,55,99,58,43,66,25,26,84"
1,"97,61,19,29,14,11,59,7,37,57"
2,"88,49,67,73,66,80,77,71,87,37"
3,"22,5,9,48,30,21,33,11,0,31"
4,"7,41,24,52,18,31,44,19,67,27"
5,"65,59,60,93,38,50,88,49,21,58"
6,"76,21,80,3,6,49,23,86,72,66"
7,"67,74,9,27,21,73,53,88,59,1"
8,"12,38,10,62,7,23,37,11,28,66"
9,"72,21,90,80,1,86,60,20,43,2"
10,"72,99,28,57,50,79,18,93,87,66"
11,"40,37,12,65,55,53,8,20,86,61"
12,"68,52,21,39,75,30,47,77,31,51"
13,"78,36,26,40,83,61,73,94,25,81"
14,"93,6,71,47,35,65,16,43,83,51"
15,"73,5,41,72,67,16,69,60,66,8"
16,"36,66,37,16,78,40,54,23,46,50"
17,"73,43,71,97,86,8,66,29,53,64"
18,"60,37,63,93,45,70,2,21,92,36"
19,"49,72,48,45,40,83,66,34,21,74"
20,"10,43,27,47,99,44,37,45,3,57"
21,"53,12,22,27,57,86,46,88,21,64"
22,"49,82,36,67,46,31,29,6,68,20"
23,"59,40,68,21,65,67,50,96,73,3"
24,"38,41,37,58,24,27,44,14,7,52"
25,"87,38,50,89,31,96,27,30,80,63"
26,"56,15,4,69,79,88,65,24,10,76"
27,"56,3,16,48,55,78,19,28,73,42"
28,"32,98,39,24,21,81,40,35,92,18"
29,"92,73,88,2,20,56,11,97,95,67"
30,"83,61,97,28,60,63,80,37,52,18"
31,"93,0,52,33,41,37,18,67,45,39"
32,"95,57,72,13,84,17,75,86,4,52"
33,"8,52,33,54,0,88,68,91,40,76"
34,"88,74,63,12,72,10,87,39,3,6"
35,"73,74,91,41,95,46,21,84,55,31"
36,"68,52,9,55,56,84,66,77,12,61"
37,"71,25,77,3,59,91,9,90,82,33"
38,"87,36,62,85,61,98,43,12,4,15"
39,"68,63,56,77,43,31,53,41,70,45"
40,"42,81,86,84,12,28,65,4,43,89"
41,"29,89,78,70,52,50,93,74,42,91"
42,"70,0,69,85,93,33,83,32,2,12"
43,"8,87,40,75,13,80,2,74,26,92"
44,"66,63,74,94,30,43,29,55,95,65"
45,"25,1,95,22,27,39,61,54,53,3"
46,"99,74,4,61,18,98,82,1,68,37"
47,"65,72,49,73,59,8,98,66,16,70"
48,"2,78,22,63,67,85,70,11,9,49"
49,"47,5,19,1,26,58,56,81,46,49"
50,"82,77,55,21,14,87,45,24,7,91"
51,"36,47,8,2,99,53,52,19,93,91"
52,"4,22,76,14,50,29,89,25,69,93"
53,"93,80,72,41,50,56,32,86,68,97"
54,"55,48,39,50,24,8,36,18,10,84"
55,"90,40,51,43,56,72,60,69,44,31"
56,"97,61,9,35,46,73,60,65,22,28"
57,"24,60,42,22,67,50,6,68,81,17"
58,"49,87,97,75,18,37,23,78,51,30"
59,"16,77,0,48,1,7,57,17,79,78"
60,"65,3,33,36,75,94,49,95,23,66"
61,"13,88,51,60,83,22,70,76,94,17"
62,"81,25,14,88,0,37,77,20,56,86"
63,"53,22,70,24,54,14,10,43,48,93"
64,"6,19,63,44,80,99,30,37,76,61"
65,"77,82,66,37,30,92,40,5,64,26"
66,"80,23,36,15,17,76,53,50,43,35"
67,"35,29,20,42,44,60,38,83,19,66"
68,"24,84,34,65,35,67,7,80,81,88"
69,"64,55,42,60,0,8,59,30,47,80"
70,"55,74,95,44,51,20,23,68,28,26"
71,"97,41,38,67,44,92,19,54,75,42"
72,"90,0,38,28,78,83,73,81,76,44"
73,"75,64,65,45,56,66,51,48,22,94"
74,"40,43,42,74,15,34,69,80,98,99"
75,"1,42,66,75,68,5,55,16,65,4"
76,"48,42,82,26,65,67,3,87,76,64"
77,"34,39,92,68,1,12,85,81,94,97"
78,"50,35,90,0,61,11,32,59,47,64"
79,"30,88,55,59,7,77,90,80,2,61"
80,"64,1,76,88,84,39,60,46,14,36"
81,"46,98,1,91,34,31,74,10,69,43"
82,"19,23,58,16,0,86,35,37,43,8"
83,"71,39,21,8,69,93,95,42,64,20"
84,"32,76,67,42,3,90,97,73,35,89"
85,"20,3,76,50,34,99,39,56,95,80"
86,"2,42,7,60,95,88,86,15,13,69"
87,"62,79,40,13,8,72,85,21,77,29"
88,"3,60,33,16,6,14,44,0,58,20"
89,"69,30,74,86,23,40,44,34,8,76"
90,"89,69,84,8,38,96,23,86,71,34"
91,"59,51,97,72,58,82,7,45,16,40"
92,"81,99,35,82,51,73,17,90,23,8"
93,"37,85,73,90,94,40,6,89,96,53"
94,"99,81,44,64,12,92,80,31,19,16"
95,"13,65,78,79,32,45,26,58,70,5"
96,"59,56,52,42,9,34,35,26,12,86"
97,"48,53,70,93,63,72,45,16,75,60"
98,"81,40,92,45,46,97,35,72,94,8"
